id,name,username,password
2f117119-5cf7-42d2-884a-63653f2dd5b8,Bruce Lee,bruce-lee,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
e84d89b1-4557-4a72-aaf7-90edea52a192,Eminem,eminem,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
ae0dc866-b246-40b1-bef0-62bef6a65bde,Hugh Laurie,hugh-laurie,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
428dacd2-4581-43be-ae25-33c452b2a585,Johnny Depp,johnny-depp,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
a1c4330a-5f59-4271-ba4f-07b23f05b7e7,Jennifer Aniston,jennifer-aniston,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
a6b57d2a-8f86-4697-987b-bd7a7e758b42,Scarlett Johansson,scarlett-johansson,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
0074d48d-6a07-4060-b981-4b7cef5a35aa,Kate Moss,kate-moss,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
c396a93c-e78b-48a8-8e21-8c59dafd0aa4,Keith Richards,keith-richards,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
cfc12ee8-af94-4424-b177-ecf54080abfa,Bob Marley,bob-marley,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
71403f8e-4407-40e0-9976-89c5314648a9,Bouddha,bouddha,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
1ca86d2b-7eff-4184-b2b0-46f636613639,Stephen King,stephen-king,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
6034b6b6-0222-4e8c-a236-2a6e5ca84a8e,Plato,plato,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
8f8a2ffb-3f5c-4e13-b774-a66cd3affaa7,Socrate,socrate,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
45539a7d-5753-40a7-9ff3-738ae413aa73,Leonardo da Vinci,leonardo-da-vinci,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
